pointid,ph_cacl2,ph_h20,ec,oc,caco3,p,n,k
53942368,2,2,2,0,3,4,0,0
53982330,2,2,0,4,3,1,2,0
54002332,4,0,0,0,3,1,0,1
54002350,2,1,0,0,3,1,0,0
54062392,3,3,2,0,3,1,0,1
54082368,2,2,2,0,3,4,0,0
54122350,1,1,0,0,3,1,0,0
54122394,3,3,2,0,3,1,0,0
54142364,2,2,0,0,3,1,0,1
54222336,2,2,0,0,3,1,0,0
54262380,1,1,0,0,3,1,0,0
54322346,2,2,0,0,3,4,0,1
54322396,3,3,2,0,3,1,0,0
54402326,1,2,0,0,3,1,2,0
54402350,2,2,0,0,3,1,0,0
54422324,4,0,0,0,3,1,0,1
54422352,2,2,0,0,3,1,0,1
54442340,4,0,0,0,3,4,0,1
54462372,2,2,0,0,3,1,0,0
54482326,3,3,0,0,0,1,0,1
54482368,1,1,0,0,3,4,0,0
54542344,3,3,2,4,0,1,2,0
54582368,1,1,0,0,3,1,0,0
54642318,1,1,0,0,3,1,0,1
54642324,1,1,2,4,3,1,2,0
54642354,1,1,0,0,3,1,0,0
54662326,4,0,0,0,3,1,0,1
54662362,1,1,0,0,3,1,0,0
54662380,3,3,2,0,3,1,2,0
54662386,3,3,0,0,0,1,0,0
54722380,3,3,2,0,3,1,0,0
54722390,3,3,2,0,3,1,0,0
54782320,1,1,0,0,3,1,2,1
54782356,2,2,0,0,3,1,0,0
54782370,1,1,0,0,3,1,0,0
54782392,3,3,0,0,3,1,0,0
54782396,3,3,2,0,2,1,0,1
54802332,2,2,0,0,3,1,2,1
54822324,2,2,0,0,3,1,0,0
54842358,1,1,0,0,3,1,0,0
54862378,3,3,0,0,0,1,0,0
54882406,3,3,0,0,0,1,0,1
54902344,1,2,0,0,3,1,0,1
54902386,3,3,2,0,0,1,0,1
54902398,3,3,2,0,0,1,0,1
54922334,2,2,0,0,3,1,0,1
55002378,2,1,0,0,3,1,0,1
55062358,2,2,0,0,3,1,0,1
55102340,3,3,0,0,1,1,0,0
55102384,3,3,2,0,3,1,0,0
55142320,1,1,2,0,3,1,2,0
55142348,1,1,0,0,3,2,0,3
55162404,3,3,0,0,2,1,0,1
55182336,4,0,0,0,3,1,0,1
55182378,3,3,0,0,3,1,0,0
55182408,3,3,2,0,0,1,0,1
55202358,2,2,0,0,3,4,0,0
55242334,2,0,0,0,3,1,2,1
55262344,3,3,2,0,3,1,0,0
55262350,3,1,2,4,3,1,2,0
55282384,3,3,2,0,0,1,0,0
55282406,3,3,0,0,3,4,0,0
55302354,2,2,0,0,3,4,0,0
55322388,3,3,2,0,0,1,0,1
55362364,1,1,0,0,3,1,0,1
55362396,3,3,2,0,0,1,0,1
55342340,1,2,0,0,3,1,2,0
55362346,2,2,0,0,3,4,0,0
55382340,3,3,0,0,3,4,2,0
55402328,3,3,2,0,3,4,2,0
55462330,2,2,0,0,3,1,2,0
55462394,3,3,2,0,3,1,0,0
55482336,1,1,0,0,3,1,0,1
55482404,3,3,2,0,2,4,0,0
55542396,3,3,2,0,3,1,0,0
